Table S43. Sample information and classifications,,,,,,,,,,
Sample ID,Tip Name,AOS + Howard&Moore Name,AOS + Clements Name,IUCN Name,Howard&Moore Family,Tissue Source,Tissue Number,Voucher Source,Voucher Number,Locality
136,Thamphil_paltus_MPEG55411,Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilidae,MPEG,55411,MPEG,55411,"BRAZIL: Pará, Rio Xingu, Altamira, Ilha da Taboca (UHE Belo Monte 3o22'60""S, 51o56'55""W)"
137,Thamphil_paltus_LSU58400,Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilidae,LSUMZ-B,58400,LSUMZ,179658,"PERU: Puno, Below Putina, ca 25 km NE San Juan de Oro, 14 degrees 06' S, 69 degrees 01' W"
138,Thamphil_paltus_KU17412,Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilidae,KU,17412,KU,113750,"PERU: Junín, along Río Satipo, 1400 m 11.448 S 74.781 W"
140,Thamphil_paltus_MZU90917,Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilus palliatus,Thamnophilidae,MZUSP,90917,MZUSP,90917,"BRAZIL: Bahia, RPPN Serra Bonita, Camacan"
142,Thamphil_berna_LSU45997,Thamnophilus bernardi,Thamnophilus bernardi,Thamnophilus shumbae,Thamnophilidae,LSUMZ-B,45997,MHNSM,DFL-2002,"PERU: Cajamarca, Ca 50 km ESE Abra Porculla, 6 degrees 01'03"" S, 79 degrees 0"" 0' W"
144,Thamphil_atrcha_L46549,Thamnophilus atrinucha,Thamnophilus atrinucha,Thamnophilus atrinucha,Thamnophilidae,LSUMZ-B,46549,LSUMZ,178009,"PANAMA: Darien; Rancho Frío, ca. 10 km S El Real"
146,Thamphil_scheus_MZU92834,Thamnophilus schistaceus,Thamnophilus schistaceus,Thamnophilus schistaceus,Thamnophilidae,MZUSP,92834,MZUSP,92834,"BRAZIL: Amazonas, Rio Tapajós (margem esquerda), Barra de São Manoel"
147,Thamphil_scheus_LSU25407,Thamnophilus schistaceus,Thamnophilus schistaceus,Thamnophilus schistaceus,Thamnophilidae,LSUMZ-B,25407,LSUMZ,165749,"BRAZIL: Amazonas, Parque Nacional do Jau, Rio Jau, Tambor"
148,Thamphil_scheus_LSU2724,Thamnophilus schistaceus,Thamnophilus schistaceus,Thamnophilus schistaceus,Thamnophilidae,LSUMZ-B,2724,LSUMZ,109833,"PERU: Loreto, 1 km N Rio Napo, 157 km by river NNE Iquitos"
149,Thamphil_murnus_MZU93756,Thamnophilus murinus,Thamnophilus murinus,Thamnophilus murinus,Thamnophilidae,MZUSP,93756,MZUSP,93756,"BRAZIL: Roraima, Caracaraí, rio Jufari, Igarapé Caicubi, Trilha Paraguai"
