taxon,nsites,ngenes,species,genus,family,order
Buceros_rhinoceros,16553,18,Buceros_rhinoceros,Buceros,Bucerotidae,Bucerotiformes
Phoeniculus_purpureus,23958,25,Phoeniculus_purpureus,Phoeniculus,Phoeniculidae,Upupiformes
Upupa_epops,25945,25,Upupa_epops,Upupa,Upupidae,Upupiformes
Merops_nubicus,19709,22,Merops_nubicus,Merops,Meropidae,Coraciiformes
Nyctyornis_amictus,25045,23,Nyctyornis_amictus,Nyctyornis,Meropidae,Coraciiformes
Todus_angustirostris,29026,27,Todus_angustirostris,Todus,Todidae,Coraciiformes
Momotus_momota,35869,31,Momotus_momota,Momotus,Momotidae,Coraciiformes
Hylomanes_momotula,7452,7,Hylomanes_momotula,Hylomanes,Momotidae,Coraciiformes
Alcedo_hercules,5784,7,Alcedo_hercules,Alcedo,Alcedinidae,Coraciiformes
Halcyon_malimbica,9254,9,Halcyon_malimbica,Halcyon,Alcedinidae,Coraciiformes
Chloroceryle_aenea,26800,26,Chloroceryle_aenea,Chloroceryle,Cerylidae,Coraciiformes
Brachypteracias_leptosomus,8852,8,Brachypteracias_leptosomus,Brachypteracias,Brachypteraciidae,Coraciiformes
Coracias_caudatus,32817,30,Coracias_caudatus,Coracias,Coraciidae,Coraciiformes
Galbula_albirostris,23428,22,Galbula_albirostris,Galbula,Galbulidae,Galbuliformes
Bucco_macrodactylus,22629,25,Bucco_macrodactylus,Bucco,Bucconidae,Galbuliformes
Megalaima_virens,18247,17,Megalaima_virens,Megalaima,Megalaimidae,Piciformes
Lybius_dubius,1672,1,Lybius_dubius,Lybius,Lybiidae,Piciformes
Capito_niger,28858,27,Capito_niger,Capito,Ramphastidae,Piciformes
Semnornis_frantzii,7369,5,Semnornis_frantzii,Semnornis,Ramphastidae,Piciformes
Pteroglossus_castanotis,7507,8,Pteroglossus_castanotis,Pteroglossus,Ramphastidae,Piciformes
Indicator_maculatus,23100,23,Indicator_maculatus,Indicator,Indicatoridae,Piciformes
Picumnus_temminckii,9329,13,Picumnus_temminckii,Picumnus,Picidae,Piciformes
Melanerpes_carolinus,16305,17,Melanerpes_carolinus,Melanerpes,Picidae,Piciformes
Cariama_cristata,33514,33,Cariama_cristata,Cariama,Cariamidae,Cariamiformes
Micrastur_semitorquatus,28992,25,Micrastur_semitorquatus,Micrastur,Falconidae,Falconiformes
Daptrius_ater,33977,30,Daptrius_ater,Daptrius,Falconidae,Falconiformes
